0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,2130
42,2097
43,2155
44,2186
45,2119
46,2084
47,2125
48,2021
49,1995
50,2077
51,2083
52,2044
53,2059
54,1976
55,1990
56,1964
57,1993
58,1924
59,1956
60,1784
61,1821
62,1779
63,1808
64,1726
65,1756
66,1716
67,1607
68,1702
69,1636
70,1620
71,1616
72,1627
73,1565
74,1576
75,1597
76,1559
77,1576
78,1504
79,1524
80,1529
81,1459
82,1524
83,1455
84,1440
85,1460
86,1550
87,1486
88,1515
89,1496
90,1482
91,1484
92,1494
93,1553
94,1500
95,1434
96,1461
97,1502
98,1482
99,1443
100,1431
101,1385
102,1295
103,1284
104,1290
105,1249
106,1220
107,1261
108,1204
109,1298
110,1266
111,1129
112,1160
113,1164
114,1181
115,1116
116,1081
117,1111
118,1040
119,1125
120,1112
121,986
122,977
123,1003
124,1029
125,976
126,1024
127,981
128,919
129,991
130,840
131,949
132,914
133,864
134,907
135,967
136,890
137,822
138,824
139,847
140,822
141,799
142,754
143,789
144,734
145,735
146,757
147,657
148,707
149,696
150,654
151,640
152,618
153,576
154,596
155,628
156,586
157,582
158,626
159,530
160,624
161,525
162,524
163,514
164,493
165,517
166,512
167,502
168,526
169,494
170,487
171,515
172,496
173,507
174,488
175,461
176,422
177,488
178,467
179,480
180,433
181,478
182,468
183,433
184,473
185,449
186,445
187,475
188,440
189,460
190,471
191,486
192,484
193,508
194,468
195,460
196,453
197,424
198,430
199,435
200,406
201,460
202,491
203,435
204,427
205,462
206,396
207,460
208,418
209,414
210,427
211,446
212,456
213,424
214,398
215,426
216,411
217,435
218,471
219,453
220,428
221,468
222,419
223,430
224,417
225,421
226,438
227,443
228,428
229,429
230,437
231,450
232,424
233,439
234,442
235,424
236,455
237,432
238,456
239,446
240,439
241,435
242,457
243,473
244,438
245,459
246,409
247,394
248,424
249,401
250,410
251,421
252,453
253,420
254,433
255,381
256,438
257,408
258,389
259,376
260,419
261,388
262,408
263,379
264,390
265,370
266,388
267,402
268,364
269,375
270,385
271,383
272,393
273,379
274,402
275,394
276,395
277,356
278,411
279,395
280,371
281,369
282,377
283,376
284,332
285,405
286,435
287,410
288,396
289,385
290,423
291,398
292,412
293,400
294,385
295,429
296,408
297,377
298,434
299,378
300,406
301,417
302,410
303,425
304,406
305,412
306,393
307,377
308,409
309,383
310,401
311,421
312,430
313,402
314,442
315,383
316,413
317,417
318,428
319,405
320,429
321,411
322,438
323,376
324,417
325,432
326,384
327,423
328,453
329,442
330,397
331,417
332,397
333,378
334,424
335,407
336,441
337,439
338,432
339,394
340,427
341,435
342,473
343,459
344,415
345,460
346,433
347,407
348,408
349,434
350,396
351,421
352,441
353,473
354,408
355,429
356,411
357,463
358,423
359,460
360,406
361,462
362,430
363,426
364,412
365,421
366,403
367,433
368,412
369,442
370,417
371,423
372,400
373,378
374,374
375,364
376,368
377,388
378,382
379,361
380,360
381,351
382,344
383,347
384,360
385,324
386,312
387,320
388,314
389,336
390,329
391,314
392,300
393,306
394,280
395,292
396,304
397,296
398,258
399,300
400,255
401,267
402,266
403,282
404,278
405,242
406,262
407,282
408,298
409,291
410,262
411,284
412,288
413,305
414,299
415,286
416,291
417,310
418,314
419,300
420,309
421,317
422,290
423,380
424,324
425,395
426,370
427,393
428,411
429,434
430,440
431,409
432,418
433,444
434,464
435,496
436,496
437,556
438,579
439,554
440,558
441,597
442,671
443,653
444,679
445,699
446,689
447,707
448,803
449,828
450,801
451,843
452,901
453,953
454,865
455,937
456,967
457,973
458,936
459,932
460,998
461,1004
462,983
463,1008
464,973
465,993
466,956
467,955
468,951
469,969
470,910
471,817
472,802
473,765
474,763
475,723
476,713
477,683
478,614
479,573
480,559
481,561
482,538
483,510
484,480
485,487
486,443
487,459
488,415
489,424
490,393
491,415
492,370
493,395
494,383
495,372
496,382
497,406
498,398
499,409
500,429
501,424
502,498
503,469
504,527
505,495
506,499
507,575
508,564
509,572
510,597
511,605
512,630
